sensitivity,specificity,prevalence,tolerance_frac_prev,z,tolerance,min_n
0.95,0.95,0.06,0.1,1.96,0.006,12276.2570096022
1,0.95,0.06,0.1,1.96,0.006,11297.8984795322
0.8,1,0.06,0.1,1.96,0.006,7619.17333333333
0.85,1,0.06,0.1,1.96,0.006,7148.38901960784
0.9,1,0.06,0.1,1.96,0.006,6729.91407407407
0.95,1,0.06,0.1,1.96,0.006,6355.48912280701
1,1,0.06,0.1,1.96,0.006,6018.50666666666
0.8,0.8,0.065,0.1,1.96,0.0065,45937.3021959237
0.85,0.8,0.065,0.1,1.96,0.0065,39504.6707832358
0.9,0.8,0.065,0.1,1.96,0.0065,34371.6269822485
0.95,0.8,0.065,0.1,1.96,0.0065,30207.2004207758
1,0.8,0.065,0.1,1.96,0.0065,26779.8163313609
0.8,0.85,0.065,0.1,1.96,0.0065,33419.6603144147
0.85,0.85,0.065,0.1,1.96,0.0065,29185.1654437869
0.9,0.85,0.065,0.1,1.96,0.0065,25741.7508481262
0.95,0.85,0.065,0.1,1.96,0.0065,22901.2778698225
1,0.85,0.065,0.1,1.96,0.0065,20528.6920710059
0.8,0.9,0.065,0.1,1.96,0.0065,23070.8932544378
0.85,0.9,0.065,0.1,1.96,0.0065,20468.0751084813
0.9,0.9,0.065,0.1,1.96,0.0065,18312.3843786982
0.95,0.9,0.065,0.1,1.96,0.0065,16504.6905968346
1,0.9,0.065,0.1,1.96,0.0065,14972.1371729126
0.8,0.95,0.065,0.1,1.96,0.0065,14386.1732018409
0.85,0.95,0.065,0.1,1.96,0.0065,13013.1358579881
0.9,0.95,0.065,0.1,1.96,0.0065,11851.4472971479
0.95,0.95,0.065,0.1,1.96,0.0065,10858.0414756374
1,0.95,0.065,0.1,1.96,0.0065,10000.482790408
0.8,1,0.065,0.1,1.96,0.0065,7003.5323076923
0.85,1,0.065,0.1,1.96,0.0065,6568.9621719457
0.9,1,0.065,0.1,1.96,0.0065,6182.67760683761
0.95,1,0.065,0.1,1.96,0.0065,5837.05457489878
1,1,0.065,0.1,1.96,0.0065,5525.99384615384
0.8,0.8,0.07,0.1,1.96,0.007,39948.2844444444
0.85,0.8,0.07,0.1,1.96,0.007,34371.6269822485
0.9,0.8,0.07,0.1,1.96,0.007,29919.84
0.95,0.8,0.07,0.1,1.96,0.007,26306.6844444444
1,0.8,0.07,0.1,1.96,0.007,23331.84
0.8,0.85,0.07,0.1,1.96,0.007,29185.1654437869
0.85,0.85,0.07,0.1,1.96,0.007,25503.84
0.9,0.85,0.07,0.1,1.96,0.007,22508.64
0.95,0.85,0.07,0.1,1.96,0.007,20036.59
1,0.85,0.07,0.1,1.96,0.007,17970.6635294117
0.8,0.9,0.07,0.1,1.96,0.007,20287.84
0.85,0.9,0.07,0.1,1.96,0.007,18013.7066666667
0.9,0.9,0.07,0.1,1.96,0.007,16128.84
0.95,0.9,0.07,0.1,1.96,0.007,14547.1064359862
1,0.9,0.07,0.1,1.96,0.007,13205.1733333333
0.8,0.95,0.07,0.1,1.96,0.007,12821.8844444444
0.85,0.95,0.07,0.1,1.96,0.007,11608.59
0.9,0.95,0.07,0.1,1.96,0.007,10580.9887889273
0.95,0.95,0.07,0.1,1.96,0.007,9701.37086419752
1,0.95,0.07,0.1,1.96,0.007,8941.31368421051
0.8,1,0.07,0.1,1.96,0.007,6475.84
0.85,1,0.07,0.1,1.96,0.007,6072.31058823529
0.9,1,0.07,0.1,1.96,0.007,5713.61777777778
0.95,1,0.07,0.1,1.96,0.007,5392.68210526316
1,1,0.07,0.1,1.96,0.007,5103.84
0.8,0.8,0.075,0.1,1.96,0.0075,35091.3560493827
0.85,0.8,0.075,0.1,1.96,0.0075,30207.2004207758
0.9,0.8,0.075,0.1,1.96,0.0075,26306.6844444444
0.95,0.8,0.075,0.1,1.96,0.0075,23139.7116049383
1,0.8,0.075,0.1,1.96,0.0075,20531.2177777778
0.8,0.85,0.075,0.1,1.96,0.0075,25741.7508481262
0.85,0.85,0.075,0.1,1.96,0.0075,22508.64
0.9,0.85,0.075,0.1,1.96,0.0075,19876.722962963
0.95,0.85,0.075,0.1,1.96,0.0075,17703.3733333333
1,0.85,0.075,0.1,1.96,0.0075,15886.1458823529
0.8,0.9,0.075,0.1,1.96,0.0075,18013.7066666666
0.85,0.9,0.075,0.1,1.96,0.0075,16006.6666666667
0.9,0.9,0.075,0.1,1.96,0.0075,14341.9733333333
0.95,0.9,0.075,0.1,1.96,0.0075,12944.0208535179
1,0.9,0.075,0.1,1.96,0.0075,11757.1930864198
0.8,0.95,0.075,0.1,1.96,0.0075,11529.5427160494
0.85,0.95,0.075,0.1,1.96,0.0075,10447.0177777778
0.9,0.95,0.075,0.1,1.96,0.0075,9529.26529796231
0.95,0.95,0.075,0.1,1.96,0.0075,8742.93355281206
1,0.95,0.075,0.1,1.96,0.0075,8062.86690058479
0.8,1,0.075,0.1,1.96,0.0075,6018.50666666666
0.85,1,0.075,0.1,1.96,0.0075,5641.87921568627
0.9,1,0.075,0.1,1.96,0.0075,5307.09925925926
0.95,1,0.075,0.1,1.96,0.0075,5007.55929824561
1,1,0.075,0.1,1.96,0.0075,4737.97333333333
0.8,0.8,0.08,0.1,1.96,0.008,31095.6177777778
0.85,0.8,0.08,0.1,1.96,0.008,26779.8163313609
0.9,0.8,0.08,0.1,1.96,0.008,23331.84
0.95,0.8,0.08,0.1,1.96,0.008,20531.2177777778
1,0.8,0.08,0.1,1.96,0.008,18223.59
0.8,0.85,0.08,0.1,1.96,0.008,22901.2778698225
0.85,0.85,0.08,0.1,1.96,0.008,20036.59
0.9,0.85,0.08,0.1,1.96,0.008,17703.3733333333
0.95,0.85,0.08,0.1,1.96,0.008,15775.69546875
1,0.85,0.08,0.1,1.96,0.008,14163.0752941176
0.8,0.9,0.08,0.1,1.96,0.008,16128.84
0.85,0.9,0.08,0.1,1.96,0.008,14341.9733333333
0.9,0.9,0.08,0.1,1.96,0.008,12858.855625
0.95,0.9,0.08,0.1,1.96,0.008,11612.5320415225
1,0.9,0.08,0.1,1.96,0.008,10553.7288888889
0.8,0.95,0.08,0.1,1.96,0.008,10447.0177777778
0.85,0.95,0.08,0.1,1.96,0.008,9473.07046874999
0.9,0.95,0.08,0.1,1.96,0.008,8646.5908650519
0.95,0.95,0.08,0.1,1.96,0.008,7937.82456790123
1,0.95,0.08,0.1,1.96,0.008,7324.31368421052
0.8,1,0.08,0.1,1.96,0.008,5618.34
0.85,1,0.08,0.1,1.96,0.008,5265.25176470588
0.9,1,0.08,0.1,1.96,0.008,4951.39555555556
0.95,1,0.08,0.1,1.96,0.008,4670.57684210526
1,1,0.08,0.1,1.96,0.008,4417.84
0.8,0.8,0.085,0.1,1.96,0.0085,27766.8957477893
0.85,0.8,0.085,0.1,1.96,0.0085,23923.4517196617
0.9,0.8,0.085,0.1,1.96,0.0085,20851.6600692041
0.95,0.8,0.085,0.1,1.96,0.0085,18355.6403844675
1,0.8,0.085,0.1,1.96,0.0085,16298.2206228374
0.8,0.85,0.085,0.1,1.96,0.0085,20528.6920710059
0.85,0.85,0.085,0.1,1.96,0.0085,17970.6635294117
0.9,0.85,0.085,0.1,1.96,0.0085,15886.1458823529
0.95,0.85,0.085,0.1,1.96,0.0085,14163.0752941176
1,0.85,0.085,0.1,1.96,0.0085,12720.9114431101
0.8,0.9,0.085,0.1,1.96,0.0085,14547.1064359861
0.85,0.9,0.085,0.1,1.96,0.0085,12944.0208535179
0.9,0.9,0.085,0.1,1.96,0.0085,11612.5320415225
0.95,0.9,0.085,0.1,1.96,0.0085,10492.8837135571
1,0.9,0.085,0.1,1.96,0.0085,9541.08106113033
0.8,0.95,0.085,0.1,1.96,0.0085,9529.26529796232
0.85,0.95,0.085,0.1,1.96,0.0085,8646.59086505189
0.9,0.95,0.085,0.1,1.96,0.0085,7896.89104105554
0.95,0.95,0.085,0.1,1.96,0.0085,7253.41802554572
1,0.95,0.085,0.1,1.96,0.0085,6695.96966672737
0.8,1,0.085,0.1,1.96,0.0085,5265.25176470588
0.85,1,0.085,0.1,1.96,0.0085,4932.93342560554
0.9,1,0.085,0.1,1.96,0.0085,4637.53934640523
0.95,1,0.085,0.1,1.96,0.0085,4373.23938080495
1,1,0.085,0.1,1.96,0.0085,4135.36941176471
0.8,0.8,0.09,0.1,1.96,0.009,24963.022441701
0.85,0.8,0.09,0.1,1.96,0.009,21516.5240528892
0.9,0.8,0.09,0.1,1.96,0.009,18760.9264197531
0.95,0.8,0.09,0.1,1.96,0.009,16520.9878737997
1,0.8,0.09,0.1,1.96,0.009,14673.9634567901
0.8,0.85,0.09,0.1,1.96,0.009,18524.9646986632
0.85,0.85,0.09,0.1,1.96,0.009,16225.0251851852
0.9,0.85,0.09,0.1,1.96,0.009,14349.8778600823
0.95,0.85,0.09,0.1,1.96,0.009,12799.1085185185
1,0.85,0.09,0.1,1.96,0.009,11500.528453159
0.8,0.9,0.09,0.1,1.96,0.009,13205.1733333333
0.85,0.9,0.09,0.1,1.96,0.009,11757.1930864198
0.9,0.9,0.09,0.1,1.96,0.009,10553.7288888889
0.95,0.9,0.09,0.1,1.96,0.009,9541.08106113034
1,0.9,0.09,0.1,1.96,0.009,8679.69733882031
0.8,0.95,0.09,0.1,1.96,0.009,8742.93355281207
0.85,0.95,0.09,0.1,1.96,0.009,7937.82456790123
0.9,0.95,0.09,0.1,1.96,0.009,7253.41802554573
0.95,0.95,0.09,0.1,1.96,0.009,6665.50681908245
1,0.95,0.09,0.1,1.96,0.009,6155.79581546458
